General.EstateTypeKey;General.ReferenceNumber;General.DistributionTypeKey;General.ConstructionYear;General.LivingSpace;Tealium.object_locationid;Tealium.object_address_is_visible;Tealium.object_zip;Tealium.object_currency;Tealium.object_features;Tealium.object_objektart_sub;Tealium.expose_type;Tealium.broker_guid;Tealium.object_count_photos;LocalRatings.scores.local_amenities;LocalRatings.scores.mobility;MetaBadges;Price.AdditionalInformation.Commission.CommissionType;EstateAddress.City;EstateAddress.ZipCode;EstateAddress.Street;Offerer.addressGuid;Offerer.globalUserId;Offerer.contactData.companyName;Project.Address.PostCode;Project.Address.Street;Project.Address.HouseNumber;Latitude;Longitude;Stadtteil;Stadt;PRICE;Column1;ROOMS;PRICE_COMMONCHARGE;EnergyType;Class;Value;CATEGORY;FLOOR;USAGE;SUITABILITY;CONDITION;HOUSECONDITION;PARKINGSLOT;ENERGY;BUILDINGTYPE;HEATING;ELEVATOR;EQUIPMENTS
WOHNUNG;001/G1/E114;ZUM_KAUF;20230;24707;493480;TRUE;90482;EUR;['Neubau', 'WANNE', 'gaestewc', 'Bad/WC getrennt', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'ERSTBEZUG', 'Fußbodenheizung', 'PARKETT', 'FLIESEN', 'abstellraum', 'Tiefgarage', 'Loggia', 'Terrasse', 'Aluminiumfenster', 'provisionsfrei'];wohnung;project;4821481;150;77;95;[{'label': 'Provisionsfrei', 'highlight': True}];COMMISSION_FREE;Nürnberg;90482;Ostendstraße 120;69C9B07CBE7147ED868C55D3368C8261;4821481;Instone Real Estate Development GmbH Niederlassung Bayern Nord;90482;Ostendstraße;115;494576;1113188;Mögeldorf;Nürnberg;25390000;2539000;70;;;;;;11. Geschoss;;;Erstbezug;Neubau;Tiefgarage;;;Fußbodenheizung;Personenaufzug;
WOHNUNG;;ZUM_KAUF;19000;690;493430;FALSE;90461;EUR;['Dach ausgebaut', 'WANNE', 'gaestewc', 'Bad/WC getrennt', 'Kelleranteil', 'Dachgeschoss', 'renoviert', 'GAS', 'Etagenheizung', 'DSL', 'LAMINAT', 'FLIESEN', 'vermietet', 'wg_geeignet', 'kable_sat_tv', 'Kunststofffenster'];MAISONETTE;standard;2704438;230;65;97;[];COMMISSION_REQUIRED;Nürnberg;90461;;96453B9B5899480AB506126D5E0E9140;2704438;Immobilien Büro Franken24 UG (haftungsbeschränkt);;;;4942749;1107581;Gibitzenhof;Nürnberg;2250000;225000;20;2800;;;;Maisonette;4. Geschoss (Dachgeschoss);vermietet;WG-geeignet;renoviert / saniert;;;Gas;;Etagenheizung;;
WOHNUNG;;ZUM_KAUF;19720;6946;493465;FALSE;90473;EUR;['WANNE', 'GEPFLEGT', 'FERN', 'LAMINAT', 'FLIESEN', 'Kapitalanlage', 'vermietet', 'abstellraum', 'Tiefgarage', 'Balkon', 'Kunststofffenster'];wohnung;standard;7111707;10;57;78;[];COMMISSION_DEFAULT;Nürnberg;90473;;9C587ED116BD427E9DD13790553F0A5F;7111707;"W &a; F Liegenschaften GmbH";;;;4940815;1113376;Langwasser;Nürnberg;1950000;195000;30;2830;;;;;8. Geschoss;vermietet;;gepflegt;;Tiefgarage;Fernwärme;;;;
WOHNUNG;X4_301;ZUM_KAUF;20230;8281;493524;TRUE;90429;EUR;['Neubau', 'DUSCHE', 'Personenaufzug', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'BLOCK', 'Fußbodenheizung', 'LAMINAT', 'KUNSTSTOFF', 'FLIESEN', 'KFW55', 'abstellraum', 'offene Küche', 'Balkon', 'KAMERA', 'Aluminiumfenster', 'Kunststofffenster', 'provisionsfrei'];wohnung;project;53124;60;82;96;[{'label': 'Provisionsfrei', 'highlight': True}];COMMISSION_FREE;Nürnberg;90429;Maximilianstraße 56;F2237DED191344059DB32E4F5C9709F0;53124;EcoLoft Gruppe AG ;90429;Maximilianstraße ;56;4946008;1104266;Seeleinsbühl;Nürnberg;4836230;483623;30;;UNDEFINED;DE_ENV2014_CLASS_A_PLUS;245;;3. Geschoss;;;Erstbezug;Neubau;;Blockheizkraftwerk;KfW 55;Fußbodenheizung;Personenaufzug;
WOHNUNG;X4_204;ZUM_KAUF;20230;7552;493524;TRUE;90429;EUR;['Neubau', 'DUSCHE', 'Personenaufzug', 'Erdgeschoss', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'BLOCK', 'Fußbodenheizung', 'LAMINAT', 'KUNSTSTOFF', 'FLIESEN', 'KFW55', 'abstellraum', 'offene Küche', 'Balkon', 'KAMERA', 'Aluminiumfenster', 'Kunststofffenster', 'provisionsfrei'];wohnung;project;53124;60;82;96;[{'label': 'Provisionsfrei', 'highlight': True}];COMMISSION_FREE;Nürnberg;90429;Maximilianstraße 56;F2237DED191344059DB32E4F5C9709F0;53124;EcoLoft Gruppe AG ;90429;Maximilianstraße ;56;4946008;1104266;Seeleinsbühl;Nürnberg;4339560;433956;30;;UNDEFINED;DE_ENV2014_CLASS_A_PLUS;245;;2. Geschoss (Erdgeschoss);;;Erstbezug;Neubau;;Blockheizkraftwerk;KfW 55;Fußbodenheizung;Personenaufzug;
WOHNUNG;X4_103;ZUM_KAUF;20230;4677;493524;TRUE;90429;EUR;['Neubau', 'barriefrei', 'DUSCHE', 'Kelleranteil', 'Personenaufzug', 'Erdgeschoss', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'BLOCK', 'Fußbodenheizung', 'Zentralheizung', 'LAMINAT', 'FLIESEN', 'KFW55', 'frei', 'offene Küche', 'REINIGUNG', 'Balkon', 'KAMERA', 'Aluminiumfenster', 'Kunststofffenster', 'provisionsfrei'];wohnung;project;53124;60;82;96;[{'label': 'Provisionsfrei', 'highlight': True}];COMMISSION_FREE;Nürnberg;90429;Maximilianstraße 56;F2237DED191344059DB32E4F5C9709F0;53124;EcoLoft Gruppe AG ;90429;Maximilianstraße ;56;4946008;1104266;Seeleinsbühl;Nürnberg;2510000;251000;20;;UNDEFINED;DE_ENV2014_CLASS_A_PLUS;245;;1. Geschoss (Erdgeschoss);frei;barrierefrei;Erstbezug;Neubau;;Blockheizkraftwerk;KfW 55;Fußbodenheizung, Zentralheizung;Personenaufzug;
WOHNUNG;X4_203;ZUM_KAUF;20230;4677;493524;TRUE;90429;EUR;['Neubau', 'DUSCHE', 'Kelleranteil', 'Personenaufzug', 'Erdgeschoss', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'BLOCK', 'Fußbodenheizung', 'Zentralheizung', 'LAMINAT', 'FLIESEN', 'KFW55', 'frei', 'offene Küche', 'REINIGUNG', 'Balkon', 'KAMERA', 'Kunststofffenster', 'provisionsfrei'];wohnung;project;53124;60;82;96;[{'label': 'Provisionsfrei', 'highlight': True}];COMMISSION_FREE;Nürnberg;90429;Maximilianstraße 56;F2237DED191344059DB32E4F5C9709F0;53124;EcoLoft Gruppe AG ;90429;Maximilianstraße ;56;4946008;1104266;Seeleinsbühl;Nürnberg;2550000;255000;20;;UNDEFINED;DE_ENV2014_CLASS_A_PLUS;245;;2. Geschoss (Erdgeschoss);frei;;Erstbezug;Neubau;;Blockheizkraftwerk;KfW 55;Fußbodenheizung, Zentralheizung;Personenaufzug;
WOHNUNG;X4_101;ZUM_KAUF;20230;8376;493524;FALSE;90429;EUR;['Neubau', 'DUSCHE', 'Personenaufzug', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'BLOCK', 'Fußbodenheizung', 'KUNSTSTOFF', 'FLIESEN', 'KFW55', 'abstellraum', 'offene Küche', 'Balkon', 'KAMERA', 'Kunststofffenster', 'provisionsfrei'];wohnung;project;53124;50;82;96;[{'label': 'Provisionsfrei', 'highlight': True}];COMMISSION_FREE;Nürnberg;90429;;F2237DED191344059DB32E4F5C9709F0;53124;EcoLoft Gruppe AG ;90429;Maximilianstraße ;56;4946008;1104266;Seeleinsbühl;Nürnberg;4477100;447710;30;;UNDEFINED;DE_ENV2014_CLASS_A_PLUS;245;;1. Geschoss;;;Erstbezug;Neubau;;Blockheizkraftwerk;KfW 55;Fußbodenheizung;Personenaufzug;
WOHNUNG;X4_403;ZUM_KAUF;20230;4677;493524;TRUE;90429;EUR;['Neubau', 'barriefrei', 'DUSCHE', 'Kelleranteil', 'Personenaufzug', 'Erdgeschoss', 'FERNE', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'BLOCK', 'Fußbodenheizung', 'Zentralheizung', 'LAMINAT', 'FLIESEN', 'KFW55', 'frei', 'offene Küche', 'REINIGUNG', 'Balkon', 'KAMERA', 'Kunststofffenster', 'provisionsfrei'];wohnung;project;53124;60;82;96;[{'label': 'Provisionsfrei', 'highlight': True}];COMMISSION_FREE;Nürnberg;90429;Maximilianstraße 56;F2237DED191344059DB32E4F5C9709F0;53124;EcoLoft Gruppe AG ;90429;Maximilianstraße ;56;4946008;1104266;Seeleinsbühl;Nürnberg;2650000;265000;20;;UNDEFINED;DE_ENV2014_CLASS_A_PLUS;245;;4. Geschoss (Erdgeschoss);frei;barrierefrei;Erstbezug;Neubau;;Blockheizkraftwerk;KfW 55;Fußbodenheizung, Zentralheizung;Personenaufzug;
WOHNUNG;a087R00001FaAA1QAN;ZUM_KAUF;20250;6984;493485;FALSE;90429;EUR;['Neubau', 'gaestewc', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'FERN', 'Fußbodenheizung', 'DSL', 'PARKETT', 'FLIESEN', 'KFW55', 'offene Küche', 'Tiefgarage', 'Haustiere erlaubt', 'Loggia', 'Kunststofffenster', 'provisionsfrei'];wohnung;project;42969;70;65;90;[{'label': 'Provisionsfrei', 'highlight': True}];COMMISSION_FREE;Nürnberg;90429;;3F086D3C166F4B5CBA23A36936B29B0D;42969;BPD Immobilienentwicklung GmbH;90429;Adolf-Braun-Straße ;;4946166;1103136;Muggenhof;Nürnberg;4100000;410000;25;;;;;;1. Geschoss;;;Erstbezug;Neubau;Tiefgarage;Fernwärme;KfW 55;Fußbodenheizung;Personenaufzug;
WOHNUNG;a087R00001Fa8hpQAB;ZUM_KAUF;20250;6721;493485;FALSE;90429;EUR;['Neubau', 'gaestewc', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'FERN', 'Fußbodenheizung', 'DSL', 'PARKETT', 'FLIESEN', 'KFW55', 'offene Küche', 'Tiefgarage', 'Haustiere erlaubt', 'Loggia', 'Kunststofffenster', 'provisionsfrei'];wohnung;project;42969;70;65;90;[{'label': 'Provisionsfrei', 'highlight': True}];COMMISSION_FREE;Nürnberg;90429;;3F086D3C166F4B5CBA23A36936B29B0D;42969;BPD Immobilienentwicklung GmbH;90429;Adolf-Braun-Straße ;;4946166;1103136;Muggenhof;Nürnberg;4200000;420000;20;;;;;;1. Geschoss;;;Erstbezug;Neubau;Tiefgarage;Fernwärme;KfW 55;Fußbodenheizung;Personenaufzug;
WOHNUNG;a087R00001FaCbxQAF;ZUM_KAUF;20250;1238;493485;FALSE;90429;EUR;['Neubau', 'gaestewc', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'Erdgeschoss', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'FERN', 'Fußbodenheizung', 'DSL', 'Garten', 'PARKETT', 'FLIESEN', 'KFW55', 'offene Küche', 'Tiefgarage', 'Haustiere erlaubt', 'Terrasse', 'Kunststofffenster', 'provisionsfrei'];wohnung;project;42969;70;65;90;[{'label': 'Provisionsfrei', 'highlight': True}];COMMISSION_FREE;Nürnberg;90429;;3F086D3C166F4B5CBA23A36936B29B0D;42969;BPD Immobilienentwicklung GmbH;90429;Adolf-Braun-Straße ;;4946166;1103136;Muggenhof;Nürnberg;7850000;785000;50;;;;;;Erdgeschoss;;;Erstbezug;Neubau;Tiefgarage;Fernwärme;KfW 55;Fußbodenheizung;Personenaufzug;
